time,cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss,CPI
0.30032513,1239873929,2389747470,6913903,3519900,13731766,55445753,612583,1196258,7555878,398301,226634,68277,4860966,2599331,6432261,0.5188305227
0.600747003,1341357569,2395262699,6474539,3219397,16423796,54855959,437343,739915,6613457,354908,164098,83458,5774712,3014987,9305947,0.5600043659
0.901196821,1176312677,2183432576,6090720,3930148,17730611,45831260,604036,900645,7664838,341566,249353,152856,9250836,4038723,9463368,0.5387446766
1.201599712,497226967,948863169,1555256,2069861,8121541,8584270,309576,454808,1503276,179198,124871,44344,1962339,1002462,2091350,0.524023888
1.802407588,2438773054,3459798641,16344072,6428187,31595011,60290958,925717,1438399,17648605,311644,478212,345888,12097926,3335053,17527874,0.7048887253
2.10287114,455435844,866092742,5082018,885920,9674229,11730613,95611,192850,7598866,60869,107476,102882,3364435,2481496,2974709,0.5258511265
2.40327879,131875510,289596724,273785,319732,2357021,2307070,68474,206995,655549,50680,51158,11524,687793,149755,378200,0.4553763875
3.003878675,1305759779,2163595530,12829206,12769130,66404187,3397444,5979780,471347,11577265,123935,77639,17701,1003118,23790278,24766324,0.6035138088
3.304324973,1364519356,1362113198,23675543,7507756,46715460,88860,2000695,2792,23619170,54028,999,1317,89656,14115660,14328415,1.001766489
3.60477089,1362067017,1324978987,24325305,5999927,42076583,74124,1313668,2825,24467198,39729,1011,1329,87880,11393524,11712585,1.02799141
3.905203715,1366131230,1322434247,24396371,5479643,40852183,69787,1208102,3514,24445631,33491,930,1294,80677,10399824,10686307,1.03304284
4.205624355,1366074905,1324980900,24469835,4981985,40128674,72255,1173685,3833,24273984,27123,975,1284,84092,9424004,9713288,1.03101479
4.50605001,1369687294,1358454655,24412594,4329899,40286761,67869,1057712,3679,24323032,18674,993,1272,86019,8426532,8814289,1.008268689
4.80647268,1367717371,1382108070,24225249,3946434,40629725,64779,1078828,3507,24087244,10465,939,1443,80965,7515007,7956617,0.9895878627
5.106900168,1362518433,1398993264,23730655,4147264,41092249,65664,1191324,2640,23727153,8145,849,1462,83350,7640506,8060997,0.9739278008
5.407321861,1364835720,1395929965,23805958,4366266,40995628,74926,1168835,2771,23776921,14269,909,1551,82177,8031227,8499598,0.977725068
5.70774169,1354511219,1363434376,23717671,4658342,40396547,97269,1187236,3129,23814512,17333,819,1431,80508,8211139,8664086,0.9934553821
6.008182014,1363371206,1357571544,23781358,4748069,40065186,99836,1248763,3333,23813464,17385,930,1425,80021,8157469,8692163,1.004272086
6.308631429,1367161899,1359897024,23966988,4439521,39973332,80971,1217414,2322,24030331,13636,825,1513,77232,7838275,8220135,1.005342224
6.609027245,1359710332,1349373933,23927612,4264762,39493203,91416,1152919,1962,24120688,11876,915,1491,78229,7597459,8012649,1.007660144
6.909462866,1350886637,1332944908,23729887,4537129,38868483,92379,1248882,1730,23996577,11646,834,1428,78812,7229545,7602747,1.013460218
7.209885375,1356016304,1325095025,23647957,4420483,38503637,102601,1247929,2966,23930909,9633,978,1497,82207,7222609,7587556,1.023335141
7.510305772,1360582790,1342009468,24192558,4240724,39291554,104597,1153087,2261,24113046,12599,894,1423,75475,7418888,7837347,1.013839934
7.810750255,1365619460,1335680016,24384889,4289472,39657179,89947,1151556,2765,24088483,15507,966,1750,78911,7738590,8222497,1.022415132
8.111181129,1357376581,1338129202,24120908,4253835,39090158,91135,1197038,3279,24195641,10804,1263,1521,78207,7027042,7430702,1.014383797
