time,cycles,instructions,branch-misses,cache-misses,L1-dcache-load-misses,L1-icache-load-misses,LLC-load-misses,LLC-store-misses,branch-load-misses,dTLB-load-misses,dTLB-store-misses,iTLB-load-misses,l2_rqsts.code_rd_miss,l2_rqsts.demand_data_rd_miss,l2_rqsts.all_demand_miss,CPI
12.31622785,1338598052,2023852017,23509242,161599,5002811,588268,36091,24534,23392815,3895,1844,2606,39464,142203,302759,0.6614110324
12.61661695,1328839364,2023291855,23098442,137897,5104094,589283,33810,31520,23240593,3943,1196,6380,35059,137764,340755,0.6567709748
12.91705085,1332616113,2040619981,22933032,173494,5774387,507565,42675,26537,23080157,3640,869,9767,32080,84946,153718,0.6530447244
13.21745746,1332125259,2014602030,23202405,148530,6687847,517388,36803,23508,23250087,5086,968,8932,34991,83158,113117,0.6612349433
13.51788843,1333398064,1995296745,23651799,122609,3772925,632597,27558,22959,23714145,7767,5110,4458,73788,112818,220288,0.6682705554
13.81832246,1340099022,1984452897,23815338,120931,3962269,716807,30931,17557,23554128,8447,2041,1483,96159,158011,275981,0.6752989824
14.11872901,1342736599,2028260565,23333205,168845,4693823,696585,38112,35112,23230178,8049,1990,1995,84037,99798,196757,0.6620138567
14.41914387,1317419902,1976460018,22524853,172117,3689180,619239,37028,27942,22492935,9351,2702,2361,83031,126185,198359,0.6665553009
14.71956666,1336556468,2024579168,23426118,149338,4187709,648319,41473,42964,23532335,7127,1583,1213,62754,81257,133092,0.6601650798
15.01982796,1332275937,2012072417,22886372,183925,4821285,758725,47691,50541,23002081,7485,2453,3692,63769,114062,218469,0.6621411465
15.32026438,1337749960,2072873415,22264067,237163,5664359,817093,42411,37298,22315731,8269,1865,16710,49648,190571,474946,0.6453601799
15.62056724,1337021537,2094919930,22413923,176935,5186825,756505,40731,39896,22338187,9783,2314,20731,84969,104989,226704,0.6382208302
15.92078752,1330640008,2077167751,22315740,239472,5335881,721285,36946,45478,22483539,9569,5171,12639,114107,215874,517432,0.6406030555
16.22117947,1336461295,2081875021,22401223,163018,5709970,747352,40327,40061,22668595,8878,3654,22477,76938,212042,451373,0.6419507807
16.52160225,1338129740,2117513441,22142574,191041,5876558,773076,39832,25553,22346005,7641,1811,35373,40768,80065,185177,0.6319344728
16.8220122,1337302861,2103417701,22438910,218021,4856066,735831,45535,23248,22608956,7483,2585,34614,73737,164330,454295,0.6357761753
17.12242176,1335711011,2150843096,21716945,235121,5289606,742895,49899,52750,21972824,5618,852,19271,24691,62211,133500,0.621017411
17.422837,1344945536,2183004427,21720955,188620,5268259,831159,53166,54034,21962761,7510,1267,25996,44474,69656,187255,0.6160984006
17.72325812,1339045516,2156081245,21690453,229041,5582178,1113799,50917,44472,21418513,8057,2956,30064,42879,66091,180380,0.6210552219
18.02367017,1339792969,2170121088,21275213,231402,4915281,1157788,42160,31519,21670790,7632,1904,19776,66186,220112,516446,0.6173816643
18.32383942,1331391990,2203931751,21170762,160271,4265206,1080819,51173,43690,20999091,7771,1562,31288,59828,196064,238959,0.6040985568
18.62425596,1332055065,2193058190,20998504,281926,5118263,1176496,59376,55591,20953635,6487,2435,59786,109134,187457,108064,0.6073961334
18.92478973,1325804647,2256785574,20285271,237882,6335076,1175409,48870,70750,20143551,6651,928,78649,106273,245105,637303,0.587474797
